date,season,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,score1,score2
2000-09-03,2000,DAL,PHI,1508.805,1433.633,0.691447430656176,0.308552569343824,1500.69641822,1458.80807524,108.70252000113,74.45030092697999,4.21763435918,11.3054858865,14,41
2000-09-03,2000,GB,NYJ,1536.01,1565.587,0.5508018891407456,0.4491981108592544,1508.91844651,1532.42032569,104.02442437035,173.21966347356,0.191665481888,19.2889427424,16,20
2000-09-03,2000,WAS,CAR,1537.928,1476.197,0.6747004311454187,0.32529956885458133,1605.3034128,1485.06186679,92.18219953932,147.42472333314,-0.964560551863,18.8470809511,20,17
2000-09-03,2000,NE,TB,1499.712,1574.305,0.48619807042145974,0.5138019295785403,1484.59475819,1589.90670173,27.227125117731,44.64081334548,-12.358860028,-4.64160250368,16,21
2000-09-03,2000,MIN,CHI,1602.141,1434.633,0.7922305895967497,0.20776941040325023,1523.6776496,1473.49762223,92.88632571438,69.30391949514,-10.6141516413,-1.69590363946,30,27
2000-09-03,2000,OAK,SD,1529.383,1470.761,0.6707602221971268,0.32923977780287317,1529.17112781,1443.56032874,107.1154614354,-3.883176885984,5.84825201859,-21.8573580863,9,6
2000-09-03,2000,BUF,TEN,1577.754,1614.931,0.5399551417487275,0.4600448582512725,1537.80961293,1603.930114,78.61446742017,146.93169939822,-9.10620447806,13.5484420508,16,13
2000-09-03,2000,NO,DET,1388.151,1466.049,0.48144680815656304,0.518553191843437,1419.01986095,1457.10365042,82.54151727755999,12.867309132678,8.21614993292,-18.2358250394,10,14
2000-09-03,2000,MIA,SEA,1509.228,1510.17,0.591156293156925,0.40884370684307503,1493.72780971,1503.94229998,22.833346627277997,56.238864421079995,-18.1884522726,-6.57549833901,23,0
2000-09-03,2000,NYG,ARI,1459.851,1428.216,0.6355903896141557,0.3644096103858443,1470.92851474,1448.23097811,85.14442160531999,31.466857000161,-3.4981805112,-9.46083087731,21,16
2000-09-03,2000,CLE,JAX,1298.931,1602.681,0.20191706491178787,0.7980829350882122,1349.86454437,1616.42737422,50.871728735519994,83.61117099687,-7.52496863731,-2.7911828975,7,27
2000-09-03,2000,KC,IND,1530.606,1550.122,0.5650853436545622,0.4349146563454378,1507.85378855,1582.01617078,91.83656804751,146.51572955382,2.56079670163,13.5824697869,14,27
2000-09-03,2000,ATL,SF,1464.398,1406.49,0.6698519044260006,0.3301480955739994,1472.55924564,1410.8941045,85.93926020459999,114.55903567152,0.703402308447,-0.620532479009,36,28
2000-09-03,2000,PIT,BAL,1450.365,1493.97,0.5307510198889437,0.4692489801110563,1443.62436263,1520.95878241,67.30024167965999,62.15163965505,0.725886052818,-1.39257864277,0,16
2000-09-04,2000,STL,DEN,1621.4,1544.882,0.6930980357417055,0.3069019642582945,1612.48813043,1562.91196665,157.57701035076,85.89076370193,20.3350655872,-0.300717235366,41,36
2000-09-10,2000,SEA,STL,1484.919,1631.733,0.3843892290366925,0.6156107709633075,1476.40259515,1623.81522001,31.37047151073,168.35180997822,-18.21279861,23.4848642899,34,37
2000-09-10,2000,MIN,MIA,1607.351,1534.479,0.6886155970730387,0.31138440292696135,1533.31323237,1521.26751454,111.41141622567,29.904071305284,-0.820898803487,-13.74366732,13,7
2000-09-10,2000,SF,CAR,1392.749,1467.669,0.4857278505258757,0.5142721494741244,1397.56023993,1477.8080257,127.59971264238,137.00814682731,5.42695104346,11.767500095,22,38
2000-09-10,2000,IND,OAK,1580.578,1538.026,0.6500181705253429,0.34998182947465706,1606.46699211,1536.28027966,148.69917326912997,101.02056857904,12.913334311,2.1396295158,31,38
2000-09-10,2000,BUF,GB,1590.349,1517.99,0.6879820360899761,0.3120179639100239,1552.78985007,1491.98958481,75.23489939988,94.81851388844998,-10.3406782643,-4.42569144457,27,18
2000-09-10,2000,ARI,DAL,1415.706,1459.588,0.5303538732926971,0.4696461267073029,1435.34396116,1456.57129962,40.39203446355,141.56201236617,-3.67706963736,51.6552433998,32,31
2000-09-10,2000,DET,WAS,1481.456,1546.456,0.5,0.5,1475.73728276,1612.5572539,63.93189018974999,105.65999800653,29.0661482006,5.59863832647,15,10
2000-09-10,2000,PHI,NYG,1482.85,1472.361,0.6069595496097545,0.3930404503902455,1502.93319383,1483.81553169,76.13492313372,83.1506154798,11.5825226955,-3.77867560358,18,33
2000-09-10,2000,DEN,ATL,1534.549,1478.138,0.667943376427552,0.33205662357244803,1551.58487707,1485.89311021,107.58656525198998,96.34970770623,10.5361423474,5.87024817416,42,14
2000-09-10,2000,TEN,KC,1602.335,1500.151,0.7235997607643329,0.27640023923566714,1588.94987687,1483.40296722,129.37374841578,87.86537570811,2.87092958393,0.332995728221,17,14
2000-09-10,2000,BAL,JAX,1524.34,1613.772,0.4648973678218629,0.5351026321781371,1547.41168375,1629.18159711,68.7278745648,91.27989407394,2.56578066471,1.14884193155,39,36
2000-09-10,2000,TB,CHI,1591.652,1429.423,0.7871841997776925,0.2128158002223075,1604.76451854,1463.86203945,52.33962315582,103.76986631781,-0.560117473288,15.6218649538,41,0
2000-09-10,2000,SD,NO,1462.118,1372.744,0.7086111251764472,0.2913888748235528,1436.45117689,1400.38622861,-19.933981892583,67.22128959743999,-28.7898926853,0.110867462571,27,28
2000-09-10,2000,CIN,CLE,1377.026,1287.84,0.7083876174733689,0.29161238252663113,1387.60015672,1337.11032148,47.92531325802,67.23250411613999,-9.49680697912,1.58924101359,7,24
2000-09-11,2000,NYJ,NE,1583.606,1482.365,0.7225127581009915,0.27748724189900853,1549.34918739,1469.73694138,168.21254531531997,35.28687294462,15.8207297059,-7.70371886353,20,19
