total_result,temp,wind,total_line,away_rest,home_rest,avg_away_total_yards,avg_home_total_yards,avg_away_total_yards_against,avg_home_total_yards_against,away_total_offense_rank,home_total_offense_rank,away_total_defense_rank,home_total_defense_rank,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,total_team_elo,total_qb_elo,team_elo_diff,qb_elo_diff
Under,72,10,47.5,7,7,306.3333333333333,395.5,330.44444444444446,299.75,11,24,19,12,1406.391,1392.018,0.6122803446631667,0.3877196553368333,1408.11053293,1402.63398653,153.52638554847,38.63842444308,16.4442406316,-3.25068141035,2810.74451946,13.19355922125,5.476546400000188,19.69492204195
Over,68,6,36.0,7,7,308.5,373.0,325.0,377.0,12,22,17,24,1531.232,1611.842,0.4775505079103225,0.5224494920896774,1589.67782417,1625.74748456,114.32738452278,65.65907040693,8.77754271706,5.31594703327,3215.42530873,14.09348975033,36.06966039000008,3.46159568379
Over,68,8,41.5,7,7,297.75,299.5,487.0,295.5,8,9,28,10,1466.003,1460.055,0.6007064498425154,0.3992935501574846,1482.40442083,1470.1783327,78.59635533122999,67.96824990681,11.0564321514,-8.53853802416,2952.58275353,2.51789412724,12.22608812999988,19.59497017556
Over,74,8,38.5,8,8,281.0,263.6666666666667,258.5,399.88888888888886,6,3,2,26,1526.544,1509.964,0.6152919722599801,0.3847080277400199,1509.18688385,1503.02227434,104.90972278149,37.58822877249,8.23137204063,-11.7574810523,3012.20915819,-3.52610901167,6.164609509999991,19.98885309293
Over,47,16,40.0,14,7,295.5,338.8,299.5,326.4,7,17,7,14,1400.623,1343.637,0.6686771018879292,0.3313228981120708,1427.786908,1365.46484209,103.28011830576,74.39610194148,13.6053453279,2.64798477633,2793.2517500900003,16.25333010423,62.32206590999999,10.95736055157
Under,44,10,38.0,7,7,350.75,273.25,338.0,276.6875,21,1,16,1,1301.231,1630.165,0.1795607561803299,0.82043924381967,1317.09637951,1619.77794812,18.386188986396,132.60214060863,-19.9473112382,12.3698628632,2936.87432763,-7.577448375000001,302.6815686100001,32.3171741014
Over,72,0,43.0,7,7,326.4,280.6,338.8,405.9333333333333,14,2,17,24,1476.998,1518.775,0.5333709007845606,0.4666290992154394,1470.79158759,1506.81822698,53.96689958253,107.02152969486,20.9501391683,2.65088127586,2977.60981457,23.601020444160003,36.0266393899999,18.29925789244
Under,55,20,43.5,7,7,417.75,293.6,359.5,412.6,26,5,21,25,1488.115,1598.061,0.435675934313497,0.564324065686503,1475.87009995,1614.79187034,50.87290161492,190.45699289265,1.56776841126,27.9436718457,3090.66197029,29.51144025696,138.92177039000012,26.37590343444
Under,54,10,37.5,7,14,324.0,325.0,332.375,308.5,12,13,15,10,1630.381,1441.578,0.8116867225858002,0.1883132774141998,1598.11594795,1441.67126924,138.65775595914,45.0762899763,-0.75817128942,-24.8088140904,3039.78721719,-25.56698537982,156.44467871000006,24.05064280098
Under,49,10,37.5,7,7,368.8,340.8,301.6,281.6,22,18,9,2,1492.053,1545.821,0.5161585185553529,0.4838414814446471,1506.60899725,1602.34563338,103.25605632441,116.43026913375,22.8334610403,9.24318847466,3108.95463063,32.07664951496,95.73663613000008,13.59027256564
Over,87,15,40.5,7,7,295.6,321.0,349.0,384.125,8,11,20,23,1376.455,1320.137,0.6678246275592776,0.3321753724407223,1387.03614595,1359.79686341,51.39369315168,80.22796757052,3.90777448759,7.76583974417,2746.83300936,11.67361423176,27.239282539999977,3.85806525658
Under,72,0,42.0,7,7,345.8,281.6,344.46666666666664,340.8,19,3,19,18,1434.004,1482.06,0.5243650626467554,0.4756349373532446,1445.97375628,1496.98461518,56.09043577301999,84.28543366221,-14.0526228075,-2.10355253361,2942.9583714600003,-16.15617534111,51.0108588999999,11.94907027389
Under,50,8,43.0,6,7,290.0,334.25,289.33333333333337,300.8125,4,15,4,8,1452.204,1494.537,0.5325742322904505,0.4674257677095494,1458.3570321,1487.85660468,132.01081602521998,67.23570857156999,5.02093796466,27.6753222071,2946.21363678,32.69626017176,29.49957257999995,22.65438424244
Under,68,7,43.0,7,7,412.6,297.25,293.6,522.25,25,9,5,26,1398.217,1536.928,0.3954847607692488,0.6045152392307511,1375.80016349,1548.06949394,82.61852769785999,130.07796532137,73.5830806992,19.8164427482,2923.86965743,93.3995234474,172.2693304500001,53.76663795099999
Over,66,10,48.5,14,7,294.0,386.4,312.0,318.06666666666666,6,23,11,12,1421.954,1548.511,0.4123278167098352,0.5876721832901648,1423.70837351,1554.78068684,158.89603436618998,112.22361663414,17.9762562997,5.70728595056,2978.48906035,23.68354225026,131.07231333000004,12.268970349140002
Under,62,11,37.5,7,7,349.0,337.8,295.6,322.8666666666667,20,16,6,13,1527.514,1544.982,0.5679804571983162,0.4320195428016837,1544.77996781,1561.48439522,55.77595283568,71.42348585888999,-16.9074430972,4.64416715787,3106.26436303,-12.26327593933,16.70442740999988,21.551610255070003
Over,72,0,39.0,8,8,301.6,408.5,368.8,286.0625,10,24,22,3,1651.146,1597.253,0.6647207193960409,0.335279280603959,1586.51194167,1613.07967535,130.89665798022,62.00831750388,8.83907938896,3.22477323004,3199.59161702,12.063852619,26.567733679999947,5.61430615892
Over,63,7,36.5,7,7,298.2,359.5,396.28,417.75,6,21,25,27,1550.249,1377.491,0.7971611554462729,0.2028388445537271,1518.14651332,1353.95668457,94.73753748492,59.99804867331,-0.000143623891881,58.5934916313,2872.10319789,58.59334800740812,164.18982874999983,58.59363525519188
Under,62,8,43.5,7,13,330.0,295.75,403.52,292.25,15,5,26,7,1541.971,1564.121,0.5613553334085812,0.4386446665914187,1524.35255351,1568.81609988,112.7624369718,128.70888571068,11.6712568979,13.4226104763,3093.16865339,25.0938673742,44.463546369999904,1.7513535783999998
Under,72,0,40.5,7,7,358.8,320.0,279.0,325.84000000000003,20,10,2,17,1387.402,1481.611,0.458063622919031,0.541936377080969,1407.67516899,1488.67536869,92.67150221933998,142.31758294677,11.6307413368,9.31379794082,2896.35053768,20.94453927762,81.00019969999994,2.316943395979999
Under,75,7,40.5,14,7,300.6,330.6666666666667,337.8666666666667,279.3333333333333,8,16,20,4,1504.037,1453.358,0.6605849089306074,0.3394150910693926,1517.42071141,1456.86371453,71.17477387151999,60.86866032653999,-8.23395509017,-31.8398512931,2974.28442594,-40.07380638327,60.55699688000004,23.60589620293
Under,61,0,37.0,7,7,261.4,325.8,367.2,302.2,1,12,23,10,1494.619,1293.848,0.8219918079283779,0.1780081920716221,1494.60528923,1310.12592372,59.608551632520005,20.538706502226,-8.55676059665,-17.8736869184,2804.73121295,-26.43044751505,184.47936551,9.31692632175
Over,72,0,58.5,7,14,279.3333333333333,515.2,330.6666666666667,290.66666666666663,2,28,18,6,1676.78,1412.027,0.8696888957458998,0.1303111042541002,1667.85251476,1425.53766005,211.74449849124,47.19315832902,36.1098847603,-17.8005245451,3093.39017481,18.3093602152,242.31485471,53.9104093054
Under,75,0,34.5,7,7,325.8333333333333,381.3333333333333,340.6666666666667,333.5,13,23,21,19,1560.205,1565.785,0.5846881672920944,0.4153118327079056,1614.98239759,1580.56360239,118.30088269395,60.56850400656,9.58410836011,-0.66087620278,3195.54599998,8.923232157329998,34.41879519999998,10.24498456289
Over,80,3,39.0,7,7,333.5,320.2,381.3333333333333,284.88,18,11,24,5,1390.289,1477.669,0.4678370629349644,0.5321629370650356,1402.97804641,1493.97223304,58.42331196140999,102.22592011797,7.78365389387,21.1767198851,2896.95027945,28.96037377897,90.99418663000006,13.39306599123
