"total_result","total_line","roof","surface","temp","wind","div_game"
"Over",41,"outdoors","grass",67,7,1
"Over",37,"outdoors","grass",65,6,0
"Under",42.5,"dome","astroturf",72,0,0
"Over",45.5,"outdoors","grass",62,9,1
"Under",37,"dome","astroturf",72,0,0
"Under",37.5,"outdoors","grass",48,8,1
"Under",33,"outdoors","grass",42,6,1
"Under",40,"dome","astroturf",72,0,1
"Over",44,"dome","astroturf",72,0,1
"Over",39.5,"outdoors","grass",73,6,1
"Under",40,"outdoors","grass",47,25,1
"Under",40.5,"outdoors","grass",48,12,0
"Over",47,"dome","astroturf",72,0,1
"Under",45,"outdoors","grass",62,4,1
"Under",37.5,"outdoors","grass",83,7,1
