total_line,temp,wind,total_qb_elo,team_elo_diff,qb_elo_diff,avg_home_total_yards,avg_away_total_yards,avg_home_total_yards_against,avg_away_total_yards_against,div_game,roof_closed,roof_dome,roof_open,roof_outdoors,surface_astroplay,surface_astroturf,surface_dessograss,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf,total_result
55.5,72,0,30.71833265433,261.64090381,27.25433651087,502.0,371.0,250.5,378.5,1,0,1,0,0,0,1,0,0,0,0,0,Over
44.0,79,9,28.9399710574,5.00116703000003,1.5751073666,301.0,438.5,435.0,288.5,1,0,0,0,1,0,0,0,0,1,0,0,Over
42.0,79,8,10.02733667715,73.7935351399999,0.198715110329999,327.5,391.0,324.5,353.0,0,0,0,0,1,0,0,0,0,1,0,0,Under
42.5,70,15,-6.440217246046,81.45805651,7.702542777714,316.5,428.0,359.5,269.5,0,0,0,0,1,0,0,0,0,1,0,0,Under
40.0,68,3,-4.32254377947,58.6035480400001,23.85998161893,250.5,299.0,502.0,241.0,0,0,0,0,1,0,0,0,1,0,0,0,Under
34.5,80,10,-8.9250281235,55.13040561,25.9379113179,269.5,345.0,428.0,426.0,0,0,0,0,1,0,0,0,0,1,0,0,Under
44.0,66,8,62.77226554639,142.36040413,54.30396127121,372.5,267.5,227.0,351.0,1,0,0,0,1,0,0,0,0,1,0,0,Over
55.0,72,0,26.262467156568,148.4603622,27.664129641432,286.333333333333,512.666666666667,352.333333333333,381.0,1,0,1,0,0,0,1,0,0,0,0,0,Over
38.0,70,5,-24.87258068032,191.97811421,30.76698361728,332.333333333333,307.5,268.333333333333,343.0,1,0,0,0,1,0,0,0,0,1,0,0,Under
37.5,58,12,25.95958184462,43.33655221,14.76867761918,301.666666666667,249.333333333333,401.666666666667,326.666666666667,1,0,0,0,1,0,0,0,0,1,0,0,Under
47.0,64,20,-17.88725326483,113.48457838,32.25254201417,291.0,381.0,364.333333333333,512.666666666667,0,0,0,0,1,0,1,0,0,0,0,0,Over
34.5,88,12,-18.77966513123,89.4188811700001,6.14493162157,268.333333333333,308.666666666667,332.333333333333,395.666666666667,1,0,0,0,1,0,0,0,0,1,0,0,Under
38.0,72,0,15.37803567586,62.8866797199998,3.52207370584,291.0,303.0,273.333333333333,263.666666666667,0,0,1,0,0,0,1,0,0,0,0,0,Under
36.0,61,16,-49.30782252453,193.14256664,44.27200696907,290.0,290.5,346.5,246.0,1,0,0,0,1,0,1,0,0,0,0,0,Over
42.0,87,6,-5.42862479533,45.8643531499999,18.66719254567,351.0,263.666666666667,267.5,303.0,0,0,0,0,1,0,0,0,0,1,0,0,Under
43.0,36,8,-54.24469759171,99.15206605,67.63698184549,423.333333333333,246.0,294.666666666667,290.5,1,0,0,0,1,0,0,0,0,1,0,0,Over
40.5,76,5,26.84223105794,148.34698437,13.10821455226,294.666666666667,334.333333333333,423.333333333333,269.666666666667,0,0,0,0,1,0,0,0,0,1,0,0,Over
36.0,72,9,-42.8661692449,79.92105199,19.2866456269,241.0,273.333333333333,299.0,291.0,1,0,0,0,1,0,0,0,0,1,0,0,Under
36.0,82,9,20.84563864112,74.9990180299999,4.99526510388,326.666666666667,332.666666666667,249.333333333333,340.666666666667,0,0,0,0,1,0,0,0,0,1,0,0,Over
42.0,64,9,10.70965563708,23.0304468899999,6.0301349144,401.666666666667,364.333333333333,301.666666666667,291.0,1,0,0,0,1,0,0,0,0,1,0,0,Under
45.0,72,0,20.378752783502,43.9821575199999,18.456464437298,435.0,370.666666666667,301.0,325.333333333333,0,0,1,0,0,0,1,0,0,0,0,0,Over
44.0,70,10,32.297834957097,57.45422807,31.449216433503,340.666666666667,467.666666666667,332.666666666667,355.777777777778,1,0,0,0,1,0,1,0,0,0,0,0,Under
47.5,71,14,-17.62832329767,44.1425071200001,34.49623382733,352.333333333333,299.75,286.333333333333,395.5,0,0,0,0,1,0,0,0,0,1,0,0,Under
37.0,70,8,20.93087880844,167.46084875,3.83467810896,312.0,347.0,294.0,257.875,1,0,0,0,1,0,0,0,0,1,0,0,Under
42.5,72,0,19.88766982632,77.3401716400001,16.20249035788,258.75,395.666666666667,328.25,308.666666666667,1,0,1,0,0,0,1,0,0,0,0,0,Over
38.5,76,14,-31.20670847473,196.59870741,25.55648923667,359.5,318.333333333333,459.5,319.333333333333,1,0,0,0,1,0,0,0,0,1,0,0,Under
53.5,72,0,95.9277576689,273.47428227,43.0896457005,487.0,264.333333333333,297.75,283.555555555556,0,0,1,0,0,0,1,0,0,0,0,0,Over
38.0,72,5,6.19393159841,92.3402831000001,2.47381628793,319.333333333333,377.0,318.333333333333,373.0,0,0,0,0,1,0,0,0,0,1,0,0,Over
33.0,76,6,-41.7316706028,216.54174432,15.0035884866,241.333333333333,264.25,351.888888888889,285.75,0,0,0,0,1,0,0,0,0,1,0,0,Over
41.0,80,6,10.26945579739,155.32240743,26.31667072181,405.75,285.75,259.25,264.25,0,0,0,0,1,0,0,0,0,1,0,0,Over
41.0,72,12,4.4377591536,122.18380742,13.76737972228,313.75,328.25,317.5,258.75,1,0,0,0,1,0,0,0,0,1,0,0,Over
47.5,72,10,13.19355922125,5.47654640000019,19.69492204195,395.5,306.333333333333,299.75,330.444444444444,0,0,0,0,1,0,0,0,0,1,0,0,Under
36.0,68,6,14.09348975033,36.0696603900001,3.46159568379,373.0,308.5,377.0,325.0,0,0,0,0,1,0,0,0,0,1,0,0,Over
41.5,68,8,2.51789412724,12.2260881299999,19.59497017556,299.5,297.75,295.5,487.0,0,0,0,0,1,0,1,0,0,0,0,0,Over
38.5,74,8,-3.52610901167,6.16460950999999,19.98885309293,263.666666666667,281.0,399.888888888889,258.5,1,0,0,0,1,0,0,0,0,1,0,0,Over
40.0,47,16,16.25333010423,62.32206591,10.95736055157,338.8,295.5,326.4,299.5,0,0,0,0,1,0,0,0,0,1,0,0,Over
38.0,44,10,-7.577448375,302.68156861,32.3171741014,273.25,350.75,276.6875,338.0,1,0,0,0,1,0,0,0,0,1,0,0,Under
43.0,72,0,23.60102044416,36.0266393899999,18.29925789244,280.6,326.4,405.933333333333,338.8,1,0,1,0,0,0,1,0,0,0,0,0,Over
43.5,55,20,29.51144025696,138.92177039,26.37590343444,293.6,417.75,412.6,359.5,1,0,0,0,1,0,0,0,0,1,0,0,Under
37.5,54,10,-25.56698537982,156.44467871,24.05064280098,325.0,324.0,308.5,332.375,0,0,0,0,1,0,0,0,0,1,0,0,Under
37.5,49,10,32.07664951496,95.7366361300001,13.59027256564,340.8,368.8,281.6,301.6,1,0,0,0,1,0,1,0,0,0,0,0,Under
40.5,87,15,11.67361423176,27.23928254,3.85806525658,321.0,295.6,384.125,349.0,0,0,0,0,1,0,0,0,0,1,0,0,Over
42.0,72,0,-16.15617534111,51.0108588999999,11.94907027389,281.6,345.8,340.8,344.466666666667,0,0,1,0,0,0,1,0,0,0,0,0,Under
43.0,50,8,32.69626017176,29.4995725799999,22.65438424244,334.25,290.0,300.8125,289.333333333333,0,0,0,0,1,0,0,0,0,1,0,0,Under
